name,result_urban_burnt,buffer,time_since_fire_ignited
Tubbs_urban_to_TL2_banana_buffer_1008_1000,0,banana_buffer,0
Tubbs_urban_to_TL2_banana_buffer_1009_0000,0,banana_buffer,14
Tubbs_urban_to_TL2_banana_buffer_1009_0100,0,banana_buffer,15
Tubbs_urban_to_TL2_banana_buffer_1009_0200,0,banana_buffer,16
Tubbs_urban_to_TL2_banana_buffer_1009_0300,0,banana_buffer,17
Tubbs_urban_to_TL2_banana_buffer_1009_0400,2832.160617,banana_buffer,18
Tubbs_urban_to_TL2_banana_buffer_1009_0500,11823.6015,banana_buffer,19
Tubbs_urban_to_TL2_banana_buffer_1009_0600,44947.11788,banana_buffer,20
Tubbs_urban_to_TL2_banana_buffer_1009_0700,127877.6853,banana_buffer,21
Tubbs_urban_to_TL2_banana_buffer_1009_0800,80646.28828,banana_buffer,22
Tubbs_urban_to_TL2_banana_buffer_1009_0900,121683.617,banana_buffer,23
Tubbs_urban_to_TL2_banana_buffer_1009_1000,266261.4135,banana_buffer,24
Tubbs_urban_to_TL2_banana_buffer_1009_1100,2456666.4,banana_buffer,25
Tubbs_urban_to_TL2_banana_buffer_1009_1200,1564217.096,banana_buffer,26
Tubbs_urban_to_TL2_banana_buffer_1009_1300,2179387.231,banana_buffer,27
Tubbs_urban_to_TL2_banana_buffer_1009_1400,3113588.519,banana_buffer,28
Tubbs_urban_to_TL2_banana_buffer_1009_1500,5659572.55,banana_buffer,29
Tubbs_urban_to_TL2_banana_buffer_1009_1600,5949982.962,banana_buffer,30
Tubbs_urban_to_TL2_banana_buffer_1009_1700,7405348.187,banana_buffer,31
Tubbs_urban_to_TL2_banana_buffer_1009_1800,7571058.995,banana_buffer,32
Tubbs_urban_to_TL2_banana_buffer_1009_1900,8992336.743,banana_buffer,33
Tubbs_urban_to_TL2_banana_buffer_1009_2000,7278927.338,banana_buffer,34
Tubbs_urban_to_TL2_banana_buffer_1009_2100,8557750.534,banana_buffer,35
Tubbs_urban_to_TL2_banana_buffer_1009_2200,13561913.22,banana_buffer,36
Tubbs_urban_to_TL2_banana_buffer_1009_2300,12649496.74,banana_buffer,37
Tubbs_urban_to_TL2_banana_buffer_1009_2400,15737313.63,banana_buffer,38
Tubbs_urban_to_TL2_banana_buffer_1010_0100,16701998.66,banana_buffer,39
Tubbs_urban_to_TL2_banana_buffer_1010_0200,13284162.1,banana_buffer,40
Tubbs_urban_to_TL2_banana_buffer_1010_0300,17466943.92,banana_buffer,41
Tubbs_urban_to_TL2_banana_buffer_1010_0400,18073337.1,banana_buffer,42
Tubbs_urban_to_TL2_banana_buffer_1010_0500,16225387.72,banana_buffer,43
Tubbs_urban_to_TL2_banana_buffer_1010_0600,18496430.41,banana_buffer,44
Tubbs_urban_to_TL2_banana_buffer_1010_0700,15765966.37,banana_buffer,45
Tubbs_urban_to_TL2_banana_buffer_1010_0800,16764126.11,banana_buffer,46
Tubbs_urban_to_TL2_banana_buffer_1010_0900,18502420.98,banana_buffer,47
Tubbs_urban_to_TL2_banana_buffer_1010_1000,18217998.84,banana_buffer,48
